model,augmentation,lr,optimizer,freeze,best_epoch,best_val_f1,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_auc,tp,tn,fp,fn
efficientnet_b3,medium,0.0005,RMSprop,last_block,12,0.9795918367346939,0.9862068965517241,0.9310344827586207,1.0,0.9830508474576272,0.9642857142857143,0.9908976773383553,27,116,2,0
efficientnet_b3,medium,0.0005,AdamW,all,3,0.9787234042553191,0.9862068965517241,0.9629629629629629,0.9629629629629629,0.9915254237288136,0.9629629629629629,0.9934086629001884,26,117,1,1
efficientnet_b3,medium,0.0005,AdamW,last_block,3,1.0,0.9793103448275862,0.9,1.0,0.9745762711864406,0.9473684210526316,0.9896421845574388,27,115,3,0
resnet50,medium,0.001,RMSprop,last_block,7,0.9795918367346939,0.9793103448275862,0.9285714285714286,0.9629629629629629,0.9830508474576272,0.9454545454545454,0.9843063402385436,26,116,2,1
densenet121,medium,0.001,Adam,last_block,4,0.9600000000000001,0.9793103448275862,0.9285714285714286,0.9629629629629629,0.9830508474576272,0.9454545454545454,0.9780288763339611,26,116,2,1
resnet50,medium,0.001,Adam,last_block,4,0.9795918367346939,0.9724137931034482,0.896551724137931,0.9629629629629629,0.9745762711864406,0.9285714285714286,0.9902699309478971,26,115,3,1
efficientnet_b3,medium,0.0005,RMSprop,all,13,0.9795918367346939,0.9724137931034482,0.9259259259259259,0.9259259259259259,0.9830508474576272,0.9259259259259259,0.9924670433145009,25,116,2,2
efficientnet_b3,medium,0.001,SGD,last_block,13,0.9411764705882353,0.9655172413793104,0.8666666666666667,0.9629629629629629,0.9661016949152542,0.912280701754386,0.9908976773383552,26,114,4,1
densenet121,medium,0.0005,Adam,all,10,0.9795918367346939,0.9655172413793104,0.8928571428571429,0.9259259259259259,0.9745762711864406,0.9090909090909091,0.9880728185812933,25,115,3,2
efficientnet_b3,medium,0.001,RMSprop,last_block,13,1.0,0.9586206896551724,0.92,0.8518518518518519,0.9830508474576272,0.8846153846153846,0.9896421845574388,23,116,2,4
